,QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING,RATE
46,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.1176470588235294
47,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0175438596491229
48,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0344827586206897
49,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.1333333333333333
50,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.088235294117647
51,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.3243243243243243
52,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.2040816326530612
53,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.2627118644067796
54,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.4563758389261745
55,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.207373271889401
56,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.534351145038168
57,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.2885572139303483
58,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.1254826254826256
59,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.6449399656946826
60,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.3357664233576643
61,0.0,1000000,0.0,0.2,0.0,1.0,1.0,1.2982045277127245
62,0.0,1000000,0.0,0.2,0.0,1.0,1.0,1.3102826217678893
63,0.0,1000000,0.0,0.2,0.0,1.0,1.0,1.2514915098669115
64,1.0,1000000,0.0,0.5,0.0,1.0,2.9274924469999997,1.2830949761642831
65,1.0,1000000,0.0,0.6,0.0,1.0,4.006042296,1.3238068019434124
66,1.0,1000000,0.0,1.0,0.0,1.0,6.803625378,1.3862262521588946
67,1.0,1000000,0.0,1.0,0.0,1.0,8.314199396,1.2121164927581374
68,1.0,1000000,0.0,1.0,0.0,1.0,9.362537763999999,1.7572915328279584
69,1.0,1000000,1.0,1.0,0.0,1.0,12.88217523,1.3965050815237259
70,1.0,1000000,1.0,1.0,1.0,1.0,15.26888218,1.334502617801047
71,1.0,250,1.0,1.0,1.0,1.5,23.22054381,1.305504335203421
72,1.0,250,1.5,1.0,1.0,1.5,30.29909366,1.317676403413872
73,1.0,250,1.5,1.0,1.0,1.5,50.34743202,1.2256254703856593
74,1.0,100,1.5,1.0,1.0,1.5,62.80362538,1.224004465947153
75,1.0,10,1.5,1.0,1.0,1.5,84.48942598,1.2745294779409528
76,1.0,10,1.5,1.0,1.75,1.5,126.32628400000002,1.212569779092514
77,1.0,10,1.5,1.0,1.75,1.5,166.2054381,1.212569779092514
78,1,100,1,0.0,1,0.0,200.0,1.5625611631483294
79,1,100,1,0.0,1,0.5,200.0,1.2098058513017804
80,2,5,2,2.0,1,1.5,200.0,1.2333974264162106
81,2,5,2,2.0,1,1.5,200.0,1.1790982132150138
82,2,5,2,2.0,1,1.5,200.0,1.1244342740910247
83,2,5,2,2.0,1,1.5,200.0,1.1284822720694645
84,2,5,2,2.0,1,1.5,200.0,1.0860417585059912
85,2,5,2,2.0,1,1.5,200.0,1.0933948339483395
86,2,5,2,2.0,1,1.5,200.0,1.070770476865445
87,2,5,2,2.0,1,1.5,200.0,1.051626323751891
88,2,5,2,2.0,2,2.0,200.0,1.0
89,2,5,2,2.0,2,2.0,200.0,1.4447641311514716
90,2,5,2,2.0,2,2.0,200.0,1.1286146952661495
91,2,5,2,2.0,2,2.0,200.0,1.0338749402639416
92,2,5,2,2.0,2,2.0,200.0,1.0343650553787622
93,2,5,2,2.0,2,2.0,200.0,1.0310577154446392
94,2,5,2,2.0,2,2.0,200.0,1.0282218406707897
95,2,5,2,2.0,2,2.0,200.0,1.0056580525923284
96,2,5,2,2.0,2,2.0,200.0,1.0066257193983654
97,2,5,2,2.0,2,2.0,200.0,1.0035232695941834
98,2,5,2,2.0,2,2.0,200.0,1.0226931792793081
99,2,5,2,2.0,2,2.0,200.0,1.0
100,2,5,2,2.0,2,2.0,200.0,1.0031677173709506
101,2,5,2,2.0,2,2.0,200.0,1.0077620669808827
102,2,5,2,2.0,2,2.0,200.0,1.006189608866113
103,2,5,2,2.0,2,2.0,200.0,1.0062742571371592
104,2,5,2,2.0,2,2.0,200.0,1.0048478565766206
105,2,5,2,2.0,2,2.0,200.0,1.0064174530448766
106,2,5,2,2.0,2,2.0,200.0,1.0085924898623695
107,2,5,2,2.0,2,2.0,200.0,1.0029294393710673
108,2,5,2,2.0,2,2.0,200.0,1.0016988808250005
109,2,5,2,2.0,2,2.0,200.0,1.0017108767127363
110,2,5,2,2.0,2,2.0,200.0,1.0019901384185825
111,2,5,2,2.0,2,2.0,200.0,1.0018676073874249
112,2,5,2,2.0,2,2.0,200.0,1.0010948041188306
113,2,5,2,2.0,2,2.0,200.0,1.0006059172996777
114,2,5,2,2.0,2,2.0,200.0,1.000531702778147
115,2,5,2,2.0,2,2.0,200.0,1.0002509484374769
116,2,5,2,2.0,2,2.0,200.0,1.0001918536009444
117,2,5,2,2.0,2,2.0,200.0,1.0001180411078159
118,2,5,2,2.0,2,2.0,200.0,1.0000737669848483
119,2,5,2,2.0,2,2.0,200.0,1.0000590092349453
120,2,5,2,2.0,2,2.0,200.0,1.000059005753061
121,2,5,2,2.0,2,2.0,200.0,1.0000590022715874
122,2,5,2,2.0,2,2.0,200.0,1.0000147496976313
123,2,5,2,2.0,2,2.0,200.0,1.0000147494800808
124,2,5,2,2.0,2,2.0,200.0,1.0
125,2,5,2,2.0,2,2.0,200.0,1.0
126,2,5,2,2.0,2,2.0,200.0,1.0
127,2,5,2,2.0,2,2.0,200.0,1.0
128,2,5,2,2.0,2,2.0,200.0,1.0
129,2,5,2,2.0,2,2.0,200.0,1.0000147492625369
130,2,5,2,2.0,2,2.0,200.0,1.0
131,2,5,2,2.0,2,2.0,200.0,1.0
132,2,5,2,2.0,2,2.0,200.0,1.0
133,2,5,2,2.0,2,2.0,200.0,1.0
134,0,1000000,0,0,0,0,0.0,1.0
135,0,1000000,0,0,0,0,0.0,1.0
136,0,1000000,0,0,0,0,0.0,1.0
137,0,1000000,0,0,0,0,0.0,1.0
138,0,1000000,0,0,0,0,0.0,1.0
139,0,1000000,0,0,0,0,0.0,1.0
140,0,1000000,0,0,0,0,0.0,1.0
141,0,1000000,0,0,0,0,0.0,1.0
142,0,1000000,0,0,0,0,0.0,1.0
143,0,1000000,0,0,0,0,0.0,1.0
144,0,1000000,0,0,0,0,0.0,1.0
145,0,1000000,0,0,0,0,0.0,1.0
146,0,1000000,0,0,0,0,0.0,1.0
147,0,1000000,0,0,0,0,0.0,3.0
148,0,1000000,0,0,0,0,22.0,2.1666666666666665
149,0,1000000,0,0,0,0,22.0,1.1538461538461537
150,0,1000000,0,0,0,0,22.0,2.1333333333333333
151,0,1000000,0,0,0,0,22.0,1.40625
152,0,1000000,0,0,0,0,22.0,1.8666666666666667
153,0,1000000,0,0,0,0,22.0,1.4285714285714286
154,0,1000000,0,0,0,0,22.0,1.375
155,0,1000000,0,0,0,0,22.0,1.3454545454545455
156,0,1000000,0,0,0,0,22.0,1.1666666666666667
157,0,1000000,0,0,0,0,22.0,1.5444015444015444
158,0,1000000,0,0,0,0,22.0,1.25
159,0,1000000,0,0,0,0,22.0,1.346
160,0,1000000,0,0,0,0,22.0,1.5943536404160477
161,0,1000000,0,0,0,0,22.0,1.5796831314072692
162,1,1000000,1,1,2,1,22.0,1.343362831858407
163,1,1000000,1,1,2,1,22.0,1.0
164,1,1000000,1,1,2,1,22.0,2.297760210803689
165,1,1000000,1,1,2,1,22.0,1.2215214067278288
166,1,1000000,1,1,2,1,22.0,1.2201533406352683
167,1,1000000,1,1,2,1,22.0,1.2749422928956142
168,1,1000000,1,1,2,1,22.0,1.1816535908267953
169,1,1000000,1,1,2,1,22.0,1.1840313244807628
170,1,1000000,1,1,2,1,22.0,1.29137311286844
171,1,1000000,1,1,2,1,22.0,1.1362244613928631
172,1,1000,2,2,2,1,22.0,1.2432141107300343
173,1,1000,2,2,2,1,22.0,1.1337589658705762
174,1,1000,2,2,2,1,22.0,1.221357063403782
175,1,1000,2,2,2,1,22.0,1.135160519125683
176,2,1000,2,2,2,1,22.0,1.2414441519368185
177,2,1000,2,2,2,2,22.0,1.1670402908209634
178,2,1000,2,2,2,2,22.0,1.137282386737272
179,2,1000,2,2,2,2,22.0,1.137282386737272
180,1,1000000,1,0,0.0,1,50.0,1.0
181,1,1000000,1,0,0.0,1,100.0,1.0
182,1,1000000,1,0,0.0,1,100.0,1.0
183,1,1000000,1,0,0.0,1,100.0,1.0
184,1,1000000,1,0,0.0,1,100.0,1.0
185,1,1000000,1,0,0.0,1,100.0,1.0
186,1,1000000,1,0,0.0,1,150.0,1.0
187,1,1000000,1,0,0.0,1,150.0,1.0
188,1,1000000,1,0,0.0,1,150.0,1.0
189,1,1000000,1,0,0.0,1,150.0,1.0
190,1,1000000,1,0,0.0,1,150.0,6.666666666666667
191,1,1000000,1,0,0.0,1,180.0,3.1
192,1,1000000,1,0,0.0,1,180.0,2.5
193,1,1000000,1,0,0.0,1,180.0,1.4774193548387098
194,1,1000000,1,0,0.0,1,180.0,1.4061135371179039
195,1,1000000,1,0,0.0,1,180.0,1.406832298136646
196,1,1000000,1,0,0.0,1,180.0,1.445916114790287
197,1,1000000,1,0,0.0,1,180.0,1.3557251908396946
198,1,1000000,1,0,0.0,1,180.0,1.2702702702702702
199,1,1000000,1,0,0.0,1,180.0,1.50177304964539
200,1,1000000,1,0,0.0,1,180.0,1.2018890200708383
201,1,1000000,1,0,0.0,1,180.0,1.2288801571709234
202,1,1000000,1,0,0.0,1,180.0,1.2346123101518784
203,1,1000000,1,0,0.0,1,180.0,1.2489478795726772
204,1,1000000,1,0,0.0,1,180.0,1.2016588906169
205,1,1000000,1,0,0.0,1,180.0,1.2689818809318378
206,1,1000000,1,0,0.0,1,180.0,1.2536121026687064
207,1,1000000,1,0,0.0,1,180.0,1.2436610169491524
208,1,1000000,1,0,0.0,1,180.0,1.1065198430004362
209,1,1000000,1,0,0.0,1,180.0,1.22790422701744
210,1,100,1,0,1.5,1,220.0,1.0
211,1,100,1,0,1.5,1,220.0,1.41710800834537
212,1,100,1,0,2.0,1,220.0,1.1980181200453002
213,1,100,2,0,2.0,1,220.0,1.1696837925981944
214,1,100,2,0,2.0,1,220.0,1.1306420980320846
215,1,100,2,0,2.0,1,220.0,1.1260185847033595
216,1,100,2,0,2.0,1,220.0,1.1335301212467466
217,1,5,2,0,2.0,1,220.0,1.1490213647691316
218,2,5,2,1,2.0,1,220.0,1.145875472157914
219,2,5,2,1,2.0,2,220.0,1.1394483315965207
220,2,5,2,1,2.0,2,220.0,1.1037739370637203
221,2,5,2,1,2.0,2,330.0,1.080980080489702
222,2,5,2,1,2.0,2,330.0,1.0821092808985249
223,2,5,2,1,2.0,2,330.0,1.0753151381982191
224,2,5,2,1,2.0,2,330.0,1.0833893474578549
225,2,5,2,1,2.0,2,330.0,1.0733226619017484
226,2,5,2,1,2.0,2,330.0,1.0733226619017484
